term,abbreviation,synonyms,related,definition,audience,images,uuid
HIV-associated nephropathy,HIVAN,,kidneys,Kidney disease associated with HIV infection. HIV-associated nephropathy (HIVAN) usually begins with large amounts of protein in the urine (proteinuria) and progresses rapidly to total kidney failure. HIVAN is very uncommon in people whose HIV is effectively controlled by anti-retroviral (ARV) drugs.,Advanced,,0e4d077b-33e8-4aaf-877a-85e401271a29
HIV-associated neurocognitive disorders,HAND,,AIDS dementia complex,"A range of increasingly severe central nervous system complications associated with HIV infection. HIV-associated neurocognitive disorders (HAND) range from mild problems with memory, language, and reasoning to the more severe HIV-associated dementia (HAD).",Advanced,,349945a7-99bf-48b7-bd4d-08ff9fec2685
HLA-B*5701 test,,HLA-B*5701 testing,human leukocyte antigen,A test that detects the presence of HLA-B*5701. The HLA-B*5701 molecule is linked to hypersensitivity to the anti-retroviral (ARV) drug abacavir. A person who tests positive for HLA-B*5701 should not use abacavir or any other abacavir-containing medicine again.,,,dbbbd0ea-77c3-4a09-9bca-d421aee3714c
HIV viral envelope,,,"capsid, enzyme, glycoprotein, human immunodeficiency virus, ribonucleic acid","The outer coat of HIV, made up of two layers of lipids (fatty molecules). HIV uses protein ""spikes"" embedded in its envelope to enter host cells.",Advanced,https://aidsinfo.nih.gov/images/glossaryimages/HIV-Envelope2-600.jpg,1e128152-d367-47af-84ad-6db054dab951
hormone,,,,"A chemical messenger produced by the body and carried by the blood to tissues and organs. Hormones regulate many different body processes, including growth and development, metabolism, sexual function, reproduction, and mood. HIV can affect the production of hormones, such as estrogen and testosterone.",Advanced,,7e464f64-8131-455b-8f02-c20bce19d121
host,,,,"The animal or plant (or specific part of an animal or plant) in which another organism or microorganism lives. For example, CD4 cells infected with HIV are called host cells.",Advanced,,993a82c4-490f-441f-bf17-8109100b706c
human growth hormone,hGH,,wasting syndrome,"A hormone that is produced by the pituitary gland and stimulates the growth of bones, muscles, and other organs. A synthetic version of human growth hormone (hGH) is approved by the Food and Drug Administration (FDA) for the treatment of AIDS-related wasting syndrome.",,,c27f811e-25c9-4558-a8fa-cbba3eeb07a2
human herpesvirus 6,HHV-6,,"herpesviruses, opportunistic infection","An infection caused by human herpesvirus 6 (HHV-6). HHV-6 is primarily transmitted through saliva and usually causes disease only in children or people with weakened immune systems. HHV-6 can cause neurological diseases, such as encephalitis and febrile seizures. HHV-6 can also cause fever and rash (roseola), which mostly affects children between 6 months and 2 years old.",,,1f5f4ecb-467a-47db-988c-665ab78f87c0
human herpesvirus 7,HHV-7,,herpesviruses,A type of herpesvirus found in saliva of people infected with human herpesvirus 7 (HHV-7). HHV-7 has not been definitively documented to cause a specific disease.,,,ca71e52d-7d20-4ede-8122-ca5ce93b44d5
human immunodeficiency virus,HIV,,"HIV-1, HIV-2, retrovirus, acquired immunodeficiency syndrome","The virus that causes AIDS, which is the most advanced stage of HIV infection. HIV is a retrovirus that occurs as two types: HIV-1 and HIV-2. Both types are transmitted through direct contact with HIV-infected body fluids, such as blood, semen, and genital secretions, or from an HIV-infected mother to her child during pregnancy, birth, or breastfeeding (through breast milk).",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/HIV-Virus-Spanish-600.jpg,51ca0ac4-4835-4801-93b2-bbc6bc84788e
human leukocyte antigen,HLA,,major histocompatibility complex,"A group of molecules found on the surface of almost every cell in the body. human leukocyte antigens (HLAs) present protein fragments (peptides) to immune cells. If the cells recognize the peptides as foreign, the body mounts an immune response. Some diseases and drug reactions are linked to certain types of HLAs.",,,51ac4278-d65d-46da-9f97-4721a3450b53
human papillomavirus,HPV,,"AIDS-defining condition, cervical cancer, opportunistic infection, sexually transmitted infection","The virus that causes human papillomavirus (HPV) infection, the most common sexually transmitted infection. There are many kinds of HPV, including some that can cause genital warts and cancer. HPV is the most frequent cause of cervical cancer. In women with HIV, invasive cervical cancer is an AIDS-defining condition.",Advanced,,41d5f8d7-3625-4ddb-94df-449c3da490bb
human T-cell lymphotropic virus type-I,HTLV-I,,retrovirus,"A retrovirus that infects only T lymphocytes (T cells). Human T cell lymphotropic virus type 1 (HTLV-1) is transmitted through exposure to contaminated blood, through sexual contact, and from an infected mother to her child at birth or through breastfeeding via breast milk. HTLV-1 is prevalent mostly in Japan, Africa, the Caribbean Islands, and South America. HTLV-1 can cause adult T-cell leukemia/lymphoma, a rare and aggressive cancer of the white blood cells.",Advanced,,3255186f-16c9-410b-8b2e-c232f325b7f3
humoral immunity,,humoral immune response,"antibody, cell-mediated immunity",Type of immune response that is mediated by antibodies.,,,fef695b0-ff16-44f9-852d-feeebfd3927f
hypergammaglobulinemia,,,,"A higher-than-normal level of gamma globulin in the blood. Gamma globulins are a group of blood proteins that include most antibodies. Hypergammaglobulinemia may occur with chronic infections, including HIV infection.",Advanced,,c438af81-8c58-4780-ab89-cdbdb46e781c
hyperglycemia,,,,Abnormally high blood sugar (glucose) level. Use of some anti-retroviral (ARV) drugs may cause hyperglycemia.,,,fed4dfb3-2f50-4c97-9387-909bf6b45af9
hyperlipidemia,,,,"Excess lipids (cholesterol, triglycerides, or both) in the blood. Hyperlipidemia increases the risk of high blood pressure, heart disease, and stroke. Hyperlipidemia may be caused by HIV infection or use of some anti-retroviral (ARV) drugs.",,,9dd9cf77-7144-4eeb-ad22-1a478db5db4e
hyperplasia,,,,"An increase in the number of cells in a tissue or organ. Hyperplasia may be due to a normal, increased demand for cells or may be a sign of precancerous changes.",,,ef52bc19-0d1e-4573-99bb-2a1120368473
hypersensitivity,,hypersensitivity reaction,,"An exaggerated immune response to a specific antigen or drug. Hypersensitivity reactions, including allergic reactions, can be life-threatening. Use of some anti-retroviral (ARV) drugs may cause a hypersensitivity reaction.",,,e9801c26-3594-4e1a-8c5d-60d14625d3e4
hypersensitivity syndrome,,"DRESS, Drug Hypersensitivity Syndrome, Drug Reaction with Eosinophilia and Systemic Symptoms",,"A life-threatening allergic reaction to a drug. Hypersensitivity syndrome is characterized by fever, rash, organ involvement (most frequently the liver), and high blood levels of eosinophils (a type of white blood cell). Use of certain anti-retroviral (ARV) drugs may cause hypersensitivity syndrome.",,,b6a2856b-1b67-4099-a389-be83bf211762
hypertension,,high blood pressure,,"Persistently elevated blood pressure. Blood pressure is the force of blood pushing against the walls of the arteries. Hypertension can harm the arteries and increase the risk of stroke, heart attack, and kidney failure.",,,044d0f2d-47af-4540-bb9a-2f94680c4422
hypertriglyceridemia,,,,"Excessive accumulation of triglycerides (a type of fat) in the blood. Hypertriglyceridemia increases the risk of high blood pressure, heart disease, and stroke. Use of some anti-retroviral (ARV) drugs can cause hypertriglyceridemia.",,,4254ba3e-f438-49d0-b3b4-a16773ae3662
hyperuricemia,,,,Much higher-than-normal levels of uric acid in the blood. Hyperuricemia may be an adverse effect of some anti-retroviral (ARV) drugs.,,,ec439cb3-fdee-4ed1-8643-a144416d1805
hypogammaglobulinemia,,,,Abnormally low levels of gamma globulin in the blood. Gamma globulins are a group of blood proteins that include most antibodies. People with hypogammaglobulinemia are at high risk for infections. Hypogammaglobulinemia may be due to certain genetic diseases or to acquired diseases such as HIV.,Advanced,,a266d13b-bc59-4eb7-900f-9357000fd5c4
hypogonadism,,,hormone,Condition in which the sex glands produce little or no hormones. Hypogonadism commonly occurs during HIV infection.,Advanced,,8c60774e-8d2a-401d-a4da-ef301a8fd47c
hypoxia,,,,An insufficient supply of oxygen to the cells and tissues of the body.,,,565632c2-43d8-40af-b191-23c6ed026b6d
idiopathic,,,,Occurring spontaneously or from an unknown cause.,,,64a5fe84-fa4b-4af8-a50e-f2af5d8db0f2
Hodgkin lymphoma,,Hodgkin disease,"AIDS-related cancer, lymphoma","A type of lymphoma (cancer of the lymphatic system). Hodgkin lymphoma is characterized by progressive enlargement of the lymph nodes, spleen, and general lymphoid tissue and by the presence of large, usually multinucleate cells of unknown origin called Reed-Sternberg cells. In people with HIV, Hodgkin lymphoma is an AIDS-related cancer.",Advanced,,f52d51ba-ec9b-4628-a964-831b3265b30d
immune complex,,antigen-antibody complex,Antigen,"An antibody bound to an antigen. Immune complexes are part of a normal immune response. However, when immune complexes accumulate in the blood, they can cause autoimmune disorders, infections, and malignancies.",,,282ac8a4-15db-4d0c-96c7-79a597e7354b
idiopathic thrombocytopenia purpura,ITP,immune thrombocytopenic purpura,Platelet,"An autoimmune disorder in which the immune system destroys platelets. The destruction of platelets leads to abnormal blood clotting and easy or excessive bruising and bleeding. The exact cause of idiopathic thrombocytopenia purpura is unknown; however, the disorder may develop with a viral infection, including HIV.",Advanced,,3b97ee66-15f3-40ee-85f3-b220f6bd6a07
immune response,,,Immune System,"Actions of the immune system to defend the body against bacteria, viruses, or other substances that the body recognizes as foreign and harmful.",,,3b2dd4d4-9d91-43ad-ad36-971c7c1161ca
immune system,,,,"A complex network of specialized cells, tissues, and organs that recognize and defend the body from foreign substances, primarily disease-causing microorganisms such as bacteria, viruses, parasites, and fungi. Organs and tissues of the immune system include the bone marrow, spleen, thymus, and tonsils. Granulocytes, macrophages, and T lymphocytes are examples of specialized cells. The lymphatic vessels of the immune system carry immune cells, which converge in lymph nodes found throughout the body. A swollen lymph node often indicates an active immune response to a foreign substance. HIV infection gradually destroys the immune system.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Immune-System-600.jpg,fbe87b46-4025-478b-9ffb-17d976d0127d
immunity,,,"Acquired Immunity, Innate Immunity","Protection against disease caused by infectious microorganisms or by other foreign substances. Immunity can be acquired through vaccination, by contracting the disease, or by transfer of antibodies produced by another person or animal.",,,36236399-70e9-4849-a5ea-bf38a8024783
immunocompetent,,,Immune Response,When the body is able to produce a normal immune response.,,,6c39a355-4602-45dc-bf9c-762b742dba5a
immunocompromised,,,Immune Response,"When the body is unable to produce an adequate immune response. A person may be immunocompromised because of a disease or an infection, such as HIV, or as the result of treatment with drugs or radiation.",Newly Infected,,96c66f39-7eab-40c9-9bd9-d9feecc73e3c
